Name,Operator,Type,Geared,NominalCapacity,Ccial Capacity@14t,ReeferPlugs,Dwt,Built,Flag,Speed
EVEREAGLE,EVERGREENMARINECORPORATIONLTD,CC,N,6332,,703,75898,2001,UNITEDKINGDOM,27
EVERELITE,EVERGREENMARINECORPORATIONLTD,CC,N,6332,,703,75898,2002,UNITEDKINGDOM,25
EVERSHINE,EVERGREENMARINECORPORATIONLTD,CC,N,7024,,839,78693,2005,UNITEDKINGDOM,25
EVERSTEADY,EVERGREENMARINECORPORATIONLTD,CC,N,7024,,839,78693,2006,SINGAPORE,25
